Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIM,HR,CPM,TIME,HR,CPM,
2019-06-12 10-59-52,130,0,2019-06-12 10-59-52,132,0,2019-06-12 10-59-52,129,0,2019-06-12 10-59-52,123,0,
2019-06-12 10-59-53,130,0,2019-06-12 10-59-53,132,0,2019-06-12 10-59-53,129,0,2019-06-12 10-59-53,125,0,
2019-06-12 10-59-54,129,0,2019-06-12 10-59-54,131,0,2019-06-12 10-59-54,128,0,2019-06-12 10-59-54,125,0,
2019-06-12 10-59-55,131,0,2019-06-12 10-59-55,131,0,2019-06-12 10-59-55,128,0,2019-06-12 10-59-55,126,0,
2019-06-12 10-59-56,130,0,2019-06-12 10-59-56,130,0,2019-06-12 10-59-56,131,0,2019-06-12 10-59-56,127,0,
2019-06-12 10-59-57,130,0,2019-06-12 10-59-57,130,0,2019-06-12 10-59-57,133,0,2019-06-12 10-59-57,129,0,
2019-06-12 10-59-58,132,0,2019-06-12 10-59-58,132,0,2019-06-12 10-59-58,133,0,2019-06-12 10-59-58,128,0,
2019-06-12 10-59-59,134,0,2019-06-12 10-59-59,134,0,2019-06-12 10-59-59,134,0,2019-06-12 10-59-59,128,0,
2019-06-12 11-00-00,134,0,2019-06-12 11-00-00,134,0,2019-06-12 11-00-00,133,0,2019-06-12 11-00-00,128,0,
2019-06-12 11-00-01,133,0,2019-06-12 11-00-01,133,0,2019-06-12 11-00-01,132,0,2019-06-12 11-00-01,128,0,
2019-06-12 11-00-02,134,0,2019-06-12 11-00-02,134,0,2019-06-12 11-00-02,134,0,2019-06-12 11-00-02,128,0,
2019-06-12 11-00-03,134,0,2019-06-12 11-00-03,134,0,2019-06-12 11-00-03,134,0,2019-06-12 11-00-03,129,0,
2019-06-12 11-00-04,135,0,2019-06-12 11-00-04,135,0,2019-06-12 11-00-04,134,0,2019-06-12 11-00-04,129,0,
2019-06-12 11-00-05,135,0,2019-06-12 11-00-05,135,0,2019-06-12 11-00-05,135,0,2019-06-12 11-00-05,131,0,
2019-06-12 11-00-06,135,0,2019-06-12 11-00-06,135,0,2019-06-12 11-00-06,135,0,2019-06-12 11-00-06,133,0,
2019-06-12 11-00-07,134,0,2019-06-12 11-00-07,135,0,2019-06-12 11-00-07,135,0,2019-06-12 11-00-07,134,0,
2019-06-12 11-00-08,134,0,2019-06-12 11-00-08,135,0,2019-06-12 11-00-08,135,0,2019-06-12 11-00-08,134,0,
2019-06-12 11-00-09,135,0,2019-06-12 11-00-09,135,0,2019-06-12 11-00-09,135,0,2019-06-12 11-00-09,134,0,
2019-06-12 11-00-10,135,0,2019-06-12 11-00-10,135,0,2019-06-12 11-00-10,135,0,2019-06-12 11-00-10,134,0,
2019-06-12 11-00-11,134,0,2019-06-12 11-00-11,134,0,2019-06-12 11-00-11,135,0,2019-06-12 11-00-11,134,0,
2019-06-12 11-00-12,133,0,2019-06-12 11-00-12,133,0,2019-06-12 11-00-12,135,0,2019-06-12 11-00-12,135,0,
2019-06-12 11-00-13,133,0,2019-06-12 11-00-13,134,0,2019-06-12 11-00-13,134,0,2019-06-12 11-00-13,135,0,
2019-06-12 11-00-14,134,0,2019-06-12 11-00-14,134,0,2019-06-12 11-00-14,134,0,2019-06-12 11-00-14,135,0,
2019-06-12 11-00-15,134,0,2019-06-12 11-00-15,135,0,2019-06-12 11-00-15,135,0,2019-06-12 11-00-15,135,0,
2019-06-12 11-00-16,134,0,2019-06-12 11-00-16,135,0,2019-06-12 11-00-16,135,0,2019-06-12 11-00-16,135,0,
2019-06-12 11-00-17,133,0,2019-06-12 11-00-17,134,0,2019-06-12 11-00-17,135,0,2019-06-12 11-00-17,134,0,
2019-06-12 11-00-18,134,0,2019-06-12 11-00-18,134,0,2019-06-12 11-00-18,135,0,2019-06-12 11-00-18,134,0,
2019-06-12 11-00-19,133,0,2019-06-12 11-00-19,135,0,2019-06-12 11-00-19,135,0,2019-06-12 11-00-19,134,0,
2019-06-12 11-00-20,134,0,2019-06-12 11-00-20,135,0,2019-06-12 11-00-20,135,0,2019-06-12 11-00-20,134,0,
2019-06-12 11-00-21,134,0,2019-06-12 11-00-21,135,0,2019-06-12 11-00-21,135,0,2019-06-12 11-00-21,133,0,
