Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-12 11-25-26,139,0,2019-06-12 11-25-26,136,0,2019-06-12 11-25-25,137,0,2019-06-12 11-25-25,138,0,
2019-06-12 11-25-27,139,0,2019-06-12 11-25-27,136,0,2019-06-12 11-25-26,137,0,2019-06-12 11-25-26,139,0,
2019-06-12 11-25-28,140,0,2019-06-12 11-25-28,136,0,2019-06-12 11-25-27,138,0,2019-06-12 11-25-27,139,0,
2019-06-12 11-25-29,140,0,2019-06-12 11-25-29,136,0,2019-06-12 11-25-28,138,0,2019-06-12 11-25-28,138,0,
2019-06-12 11-25-30,140,0,2019-06-12 11-25-30,136,0,2019-06-12 11-25-29,138,0,2019-06-12 11-25-29,138,0,
2019-06-12 11-25-31,140,0,2019-06-12 11-25-31,136,0,2019-06-12 11-25-30,140,0,2019-06-12 11-25-30,138,0,
2019-06-12 11-25-32,141,0,2019-06-12 11-25-32,136,0,2019-06-12 11-25-31,140,0,2019-06-12 11-25-31,140,0,
2019-06-12 11-25-33,141,0,2019-06-12 11-25-33,136,0,2019-06-12 11-25-32,141,0,2019-06-12 11-25-32,140,0,
2019-06-12 11-25-34,140,0,2019-06-12 11-25-34,136,0,2019-06-12 11-25-33,141,0,2019-06-12 11-25-33,140,0,
2019-06-12 11-25-35,140,0,2019-06-12 11-25-35,135,0,2019-06-12 11-25-34,141,0,2019-06-12 11-25-34,139,0,
2019-06-12 11-25-36,140,0,2019-06-12 11-25-36,140,0,2019-06-12 11-25-35,140,0,2019-06-12 11-25-35,140,0,
2019-06-12 11-25-37,139,0,2019-06-12 11-25-37,139,0,2019-06-12 11-25-36,139,0,2019-06-12 11-25-36,140,0,
2019-06-12 11-25-38,140,0,2019-06-12 11-25-38,140,0,2019-06-12 11-25-37,139,0,2019-06-12 11-25-37,139,0,
2019-06-12 11-25-39,140,0,2019-06-12 11-25-39,140,0,2019-06-12 11-25-38,140,0,2019-06-12 11-25-38,139,0,
2019-06-12 11-25-40,140,0,2019-06-12 11-25-40,139,0,2019-06-12 11-25-39,140,0,2019-06-12 11-25-39,139,0,
2019-06-12 11-25-41,140,0,2019-06-12 11-25-41,139,0,2019-06-12 11-25-40,139,0,2019-06-12 11-25-40,138,0,
2019-06-12 11-25-42,140,0,2019-06-12 11-25-42,140,0,2019-06-12 11-25-41,140,0,2019-06-12 11-25-41,140,0,
2019-06-12 11-25-43,141,0,2019-06-12 11-25-43,140,0,2019-06-12 11-25-42,140,0,2019-06-12 11-25-42,143,0,
2019-06-12 11-25-44,141,0,2019-06-12 11-25-44,141,0,2019-06-12 11-25-43,140,0,2019-06-12 11-25-43,143,0,
2019-06-12 11-25-45,141,0,2019-06-12 11-25-45,141,0,2019-06-12 11-25-44,141,0,2019-06-12 11-25-44,143,0,
2019-06-12 11-25-46,141,0,2019-06-12 11-25-46,140,0,2019-06-12 11-25-45,141,0,2019-06-12 11-25-45,142,0,
2019-06-12 11-25-47,141,0,2019-06-12 11-25-47,140,0,2019-06-12 11-25-46,141,0,2019-06-12 11-25-46,142,0,
2019-06-12 11-25-48,141,0,2019-06-12 11-25-48,141,0,2019-06-12 11-25-47,141,0,2019-06-12 11-25-47,142,0,
2019-06-12 11-25-49,140,0,2019-06-12 11-25-49,141,0,2019-06-12 11-25-48,141,0,2019-06-12 11-25-48,142,0,
2019-06-12 11-25-50,140,0,2019-06-12 11-25-50,141,0,2019-06-12 11-25-49,141,0,2019-06-12 11-25-49,142,0,
2019-06-12 11-25-51,140,0,2019-06-12 11-25-51,141,0,2019-06-12 11-25-50,141,0,2019-06-12 11-25-50,141,0,
2019-06-12 11-25-52,140,0,2019-06-12 11-25-52,141,0,2019-06-12 11-25-51,141,0,2019-06-12 11-25-51,144,0,
2019-06-12 11-25-53,140,0,2019-06-12 11-25-53,145,0,2019-06-12 11-25-52,141,0,2019-06-12 11-25-52,143,0,
2019-06-12 11-25-54,141,0,2019-06-12 11-25-54,144,0,2019-06-12 11-25-53,142,0,2019-06-12 11-25-53,143,0,
